id,Survey,Camera,Year,X,Y,nOcc,Habitat,Area,Zone,DistWater,Tree cover,DistVillag,Dog Freq,Human Freq,Freq small mammals,NDVI,Patch,Fishing Cat,Leopard Cat,Smooth-coated otter,Hairy-nosed otter,Large-spotted civet,Common Palm civet,Long-tailed macaque,Sunda Pangolin
104,7,KT35A,2018,289438.2224,1268475.183,9,Back mangrove,KK Island,Koh Sralao CPA,110,70,880.5364754,0,0.580984944,0,0.422222227,259.465,0,0,0,0,0,0,0,0
105,7,KT41B,2018,287244.5756,1268763.789,72,Back mangrove,KK Island,Koh Sralao CPA,50,80,2757.810868,0,0,4.090624872,0.446322918,259.465,0,0,0,0,0,0,21,0
106,7,KT42A,2018,287090.2572,1267862.23,153,Back mangrove,KK Island,Koh Sralao CPA,170,100,2689.4192,0,0.871477416,0.389583321,0.470540762,259.465,0,0,0,0,0,1,9,0
107,7,KT47,2018,292924.224,1269085.513,73,Mixed mangrove,PKWS Mainland,PKWS,6,60,3458.447085,0,1.161969888,0,0.281216055,299.2,0,0,0,0,0,0,4,0
108,8,KT04,2018,284938,1266789,104,Fringe mangrove,KK Island,Koh Kapik CPA,2,70,1509.193409,1.501633563,0.21451908,0,0.279953927,374.747,0,0,44,0,0,0,4,0
109,8,KT19A,2018,288282.5447,1268882.019,106,Back mangrove,KK Island,Koh Sralao CPA,75,80,1926.437205,0,1.501633563,0,0.531899095,259.465,0,0,0,0,0,0,25,0
110,8,KT32,2018,291821,1269367,33,Mixed mangrove,PKWS Mainland,PKWS,4,100,2665.837752,0,0.21451908,0,0.442188889,299.2,0,0,3,0,0,0,0,0
111,8,KT46,2018,283401.0331,1268172.677,94,Back mangrove,KK Island,Koh Kapik CPA,1,60,1187.219621,0.429038161,4.075862528,0.871477416,0.473986387,147.931,0,0,0,0,0,0,3,0
112,8,KT47,2018,292924.224,1269085.513,33,Mixed mangrove,PKWS Mainland,PKWS,6,60,3458.447085,0,0.429038161,0,0.281216055,299.2,0,0,0,0,0,0,0,0
113,8,KT54,2018,282450.9892,1265004.682,103,Semi-evergreen,KK Island,Koh Kapik CPA,80,50,2193.080069,0.21451908,0,6.10034191,0.552622676,13.975,0,0,0,0,0,0,0,0
114,9,KT19A,2018,288282.5447,1268882.019,27,Back mangrove,KK Island,Koh Sralao CPA,75,80,1926.437205,0,1.330747248,0,0.531899095,259.465,2,0,0,0,0,0,10,0
115,9,KT32,2018,291821,1269367,31,Mixed mangrove,PKWS Mainland,PKWS,4,100,2665.837752,0,0.665373624,0.429038161,0.442188889,299.2,0,0,10,0,0,0,6,0
116,9,KT37,2018,285906.0442,1269462.054,31,Back mangrove,KK Island,Koh Sralao CPA,60,90,3493.022779,0,0.998060436,0,0.516587675,259.465,0,0,0,0,0,0,5,0
117,9,KT41B,2018,287244.5756,1268763.789,63,Back mangrove,KK Island,Koh Sralao CPA,50,80,2757.810868,0,0.998060436,0,0.446322918,259.465,0,0,0,0,0,0,26,0
118,9,KT42A,2018,287090.2572,1267862.23,56,Back mangrove,KK Island,Koh Sralao CPA,170,100,2689.4192,0,0,0,0.470540762,259.465,0,0,0,0,0,0,5,0
119,9,KT47,2018,292924.224,1269085.513,31,Mixed mangrove,PKWS Mainland,PKWS,6,60,3458.447085,0,0,0,0.281216055,299.2,0,1,0,0,0,6,3,0
120,9,KT53,2018,295372.9952,1270960.636,39,Mixed mangrove,PKWS Mainland,PKWS,1,80,5171.453147,0,0,0,0.48094663,299.2,0,0,0,0,0,0,4,0
121,10,KT53,2018,295372.9952,1270960.636,35,Mixed mangrove,PKWS Mainland,PKWS,1,80,5171.453147,0,5.911213572,5.322988991,0.48094663,299.2,0,0,0,0,0,1,0,0
122,10,KT60,2018,295344.4327,1273520.116,35,Mixed mangrove,PKWS Mainland,PKWS,2,100,2878.489714,0,0,0,0.492571414,299.2,0,0,1,3,0,0,0,0
123,10,KT61,2018,295861.9133,1269797.569,35,Mixed mangrove,PKWS Mainland,PKWS,6,70,6175.614597,0,0,0,0.235398218,299.2,0,1,0,0,0,0,0,0
124,11,KT04,2018,284938,1266789,64,Fringe mangrove,KK Island,Koh Kapik CPA,2,70,1509.193409,0,0.810965881,0,0.279953927,374.747,0,0,14,0,0,0,1,0
125,11,KT19A,2018,288282.5447,1268882.019,64,Back mangrove,KK Island,Koh Sralao CPA,75,80,1926.437205,0,0,0,0.531899095,259.465,0,0,0,0,0,0,0,0
126,11,KT32,2018,291821,1269367,65,Mixed mangrove,PKWS Mainland,PKWS,4,100,2665.837752,0,0,1.996120872,0.442188889,299.2,0,1,1,0,0,0,4,0
127,11,KT35A,2018,289438.2224,1268475.183,29,Back mangrove,KK Island,Koh Sralao CPA,110,70,880.5364754,0,0,0,0.422222227,259.465,0,0,0,0,0,0,1,0
128,11,KT41B,2018,287244.5756,1268763.789,64,Back mangrove,KK Island,Koh Sralao CPA,50,80,2757.810868,0,0.20274147,0.332686812,0.446322918,259.465,0,0,0,0,0,0,9,0
129,11,KT42A,2018,287090.2572,1267862.23,63,Back mangrove,KK Island,Koh Sralao CPA,170,100,2689.4192,0,0,0,0.470540762,259.465,0,0,0,0,0,0,7,0
130,11,KT47,2018,292924.224,1269085.513,65,Mixed mangrove,PKWS Mainland,PKWS,6,60,3458.447085,0,0,6.896415834,0.281216055,299.2,0,0,0,0,0,1,0,0
131,11,KT57,2018,287411.5976,1271831.769,80,Back mangrove,PKWS Mainland,Koh Sralao CPA,20,80,3939.107534,0,0,0,0.478741497,288.449,0,0,0,0,0,7,8,0
132,11,KT60,2018,295344.4327,1273520.116,31,Mixed mangrove,PKWS Mainland,PKWS,2,100,2878.489714,0,0,19.05769819,0.492571414,299.2,0,0,0,2,0,0,0,0
133,11,KT62,2018,287374.0649,1267417.55,15,Back mangrove,Islet,Koh Sralao CPA,2,80,2410.341587,0,0,1.216448821,0.520446122,139.437,0,0,1,0,0,0,1,0
134,11,KT66A,2018,295509.2551,1273680.786,31,Mixed mangrove,PKWS Mainland,PKWS,2,80,2664.333867,0.20274147,0,0,0.439967424,299.2,0,0,0,0,0,1,0,0
135,11,KT67,2018,295145.9405,1271514.735,7,Semi-evergreen,PKWS Mainland,PKWS,260,100,4734.234261,0,0,1.013707351,0.41978389,244.647,0,0,0,0,0,0,0,0
136,12,KT04,2019,284938,1266789,44,Fringe mangrove,KK Island,Koh Kapik CPA,2,70,1509.193409,1.176950599,0,0,0.395683467,374.747,0,0,4,0,0,0,0,0
137,12,KT19A,2019,288282.5447,1268882.019,43,Back mangrove,KK Island,Koh Sralao CPA,75,80,1926.437205,0,0.392316866,0.40548294,0.572563171,259.465,0,0,0,0,0,0,2,0
138,12,KT35A,2019,289438.2224,1268475.183,42,Back mangrove,KK Island,Koh Sralao CPA,110,70,880.5364754,0,0,0.40548294,0.490941226,259.465,0,0,0,0,0,0,2,0
139,12,KT47,2019,292924.224,1269085.513,42,Mixed mangrove,PKWS Mainland,PKWS,6,60,3458.447085,0,0,1.621931761,0.286142737,299.2,0,0,0,0,0,2,2,0
140,12,KT60,2019,295344.4327,1273520.116,40,Mixed mangrove,PKWS Mainland,PKWS,2,100,2878.489714,0,0,0,0.536165297,299.2,0,0,0,2,0,0,0,0
141,12,KT62,2019,287374.0649,1267417.55,21,Back mangrove,Islet,Koh Sralao CPA,2,80,2410.341587,0,0,1.621931761,0.588825226,139.437,0,0,0,0,0,0,1,0
142,12,KT66A,2019,295509.2551,1273680.786,34,Mixed mangrove,PKWS Mainland,PKWS,2,80,2664.333867,0,0,0.20274147,0.431414962,299.2,0,0,0,0,0,1,0,0
143,13,KT04,2019,284938,1266789,97,Fringe mangrove,KK Island,Koh Kapik CPA,2,70,1509.193409,0.370870015,0,0,0.395683467,374.747,0,0,18,0,0,0,2,0
144,13,KT19A,2019,288282.5447,1268882.019,97,Back mangrove,KK Island,Koh Sralao CPA,75,80,1926.437205,0,0.556305022,12.94645659,0.572563171,259.465,0,0,0,0,0,0,36,0
145,13,KT35B,2019,289400.4426,1268486.355,66,Back mangrove,KK Island,Koh Sralao CPA,150,60,905.7300556,0,0.092717504,8.630971063,0.447852761,259.465,0,0,0,0,0,0,4,0
